Feature,Chi
a3b,10.080473318999703
a3d,2.4947521576945992
a3e,5.161166460300338
a3h,3.9963104658580568
a4a,2.4775185112693201
a4d,3.2452307217368017
a4f,10.596702440711184
a4i,14.827491938157724
a5,5.1507875463822623
b3,46.741590179818509
b6a,63.116525966016141
b6b,99.072884794410328
b6c,55.957013854397566
b6d,21.92770882604108
b6e,35.108216628804428
b6f,122.72114940418425
b7a,46.680554311661794
b7b,92.77760343529512
b7c,53.22731903602434
b7d,51.244609971823763
b7e,28.890083391581577
b7f,20.131623599988316
b8b,2.5951293759512941
b8e,3.9610093168780627
b10a,18.772721705795746
b10b3,3.3274922945361252
b10c1,7.4479530114529542
b11,29.126127149323214
b12,79.533162359114144
c1,4.26994938982455
c2,15.266961555311326
c4a,83.64542566635987
c4c,91.901714099384662
c4b,99.484209367628324
c4c1,36.080086640710668
c4c2,80.415780991819815
c4d,49.110519360396772
c4f,28.045425843807642
c4g,81.72043010752688
c4e,74.69769820041833
c4h,125.16498096935831
c4i,66.049100902457766
c4j,11.034133839107977
c4k,16.237672076001239
c4l,46.717771610011077
c4o,71.775345903221023
c4m,63.237542020268279
c4n,26.053439910701652
c4o1,42.603992718037418
c4r,76.18689377546049
c4p,106.09833210177466
c4t,104.67459917409363
c4q,104.93595570506514
c4u,120.10127621659936
c4t1,103.03899996336358
c4v,124.79390362626393
c4w,75.197206871737521
c4x,82.617475658163713
c4y,34.487221113147669
c4z,29.708725713839751
c4bb,144.87230608242868
c4cc,40.977852425135012
c4cc1,43.37305438464756
c4gg,122.57763127029494
c4ee,117.91843443118935
c4ff,116.92955315370111
c4hh,59.347453610490319
c4hh1,69.225965864410981
c4hh2,19.638072881513519
c6a,85.14751832605549
c6b,105.32435120270621
c6c,125.02529317387271
c6d,61.104440689853035
c6e,98.313473850121923
c6f,73.648405728858876
c6g,57.756758104242813
c6g1,98.103280126366556
c6h,71.726792723387874
c7a,109.91703836983427
c7b,122.47795633117022
c7c,161.8425890393741
c7d,59.652302738273221
c7e,96.240942935825757
c7f,87.82255646529768
c7g,63.132246070830483
c7g1,75.285028137453651
c7h,65.111203417850007
c8a,65.076744601823037
c8b,74.223838487177829
c8c,105.57022783792611
c8d,35.722125829267156
c8e,70.581581633540836
c8f,55.607012599732357
c8g,52.061025238739944
c8g1,66.068341233819893
c8h,50.882197198474927
c9a,32.106487088216667
c9b,33.107879834914385
c9c,39.185565264101669
c9d,27.115545725627136
c9e,38.645111737266838
c9f,39.775677197870024
c9g,32.881355021578209
c9g1,21.978476264584891
c9h,47.956243001119816
c10a,101.45061588947445
c10b,103.52263965617786
c10c,171.25674791174708
c10d,101.80608835976304
c10e,109.83832332383101
c10f,122.43413574192755
c10g,94.837383449545342
c10h,76.772650815294327
c10i,75.234619144224382
e1a,105.10158292985821
e1b,100.10751628601709
e1c,49.625532848243616
e1f1,54.75151456080031
e1f2,50.162212955144732
e1f3,113.66181997256979
e1f4,18.270015425959603
e1f5,29.01780456066318
e1i,115.31119869694598
e1g,100.40560040102227
e1h,102.70730876236144
e1k,73.222964497214051
e1k1,58.247796186533478
e1l,56.335714851459535
e1m,52.621016367642369
e1m1,90.53193277216333
e1n,63.728948997980602
e1o,65.966948987608305
e1p,106.59207836154657
e1p1,113.94214572420788
e1t,81.641639314416238
e1q,42.198963326334187
e1s,62.900353967794146
e1r,68.398839708127127
e1u,45.920847323543683
e1v,100.2834159868884
e1w,90.661226971610716
e1x,56.057237415845364
e1x1,48.948017419357043
e3a,5.443038120587544
e3c,4.984568205116199
e3e,8.0974603085393948
e3g,2.7284021974826551
e3i,4.220357631127662
e3j,2.7584690767978861
d1d,68.013705754599286
d1e,7.2619930673261921
d1f,16.47556532019966
d1a,28.325188348379946
d1c,76.609607702303663
d1b,5.857448202049417
d1g,15.955613727086094
d1h,24.744962734091089
d1i,22.482591876208897
d1j,6.6268599171783524
d2d,19.675871759071065
d2e,33.564163820012602
d2f,20.926381159705386
d2a,10.462462020572609
d2b,26.243366805849391
d2c,35.220135573404917
d12,14.004487537358123
d14a,10.253287526282584
d14b,6.3024334549402496
d14c,2.2745188662966505
d14d,4.1454484215280676
d14e,22.226686080190376
d14f,10.656090444889752
d14g,11.930056587998124
d15d,9.5819980085136933
d7a,6.6837847056415853
d7b,25.561645486960547
d7c,21.904970933957767
d9a,12.290659519168294
d9b,12.373907680063668
d9c,13.962261411382492
d9d,6.3036955107513499
d9e,13.95558397003745
d9f,10.947704645204929
d9g,11.072743035254529
d9j,10.145340132031553
d9k,11.998528301886795
d10,1.9650595693827839
f1a,70.280279245101895
f1b,34.483179249283964
f1c,52.616034899965086
f1d,29.562889026421374
f1e,26.735844991896879
f1f,68.958420247531635
f1g,51.200913767636749
f1h,46.056714346878188
f1i,17.330529449960199
f1j,52.189874749963408
f1k,32.102789205852943
f1l,15.031386851199326
f2,2.5049839758640751
f6a,15.951988024060098
f6e,3.7190146695870223
f8,5.677941176470588
f14a,4.2218536453309401
f14b,4.6518328174049532
f14j,3.2246415560271156
f14k,4.6277446216877793
f14c,4.0276453747198451
f14n,13.333014375635184
f14d,14.704423695086483
f14p,2.7426761968085112
f14r,5.9682392846130128
f14g,3.0626123336247932
f14h,9.2703761879829294
f16d,3.5227415662074515
f16f,8.6258664749090723
f16h,8.0989689094953476
f16j,2.5449217564697215
f19,5.3281534706226132
f20a,2.2574029126213584
f20b,3.8414634146341458
f21a,2.0785201640464797
f21b,4.3766497353669864
f21c,2.6664697128851533
f21f,3.4691282015198421
f21i,3.6477732793522275
f22a,4.1765635578850286
f22c,2.2447138781674774
f23,3.6663232911347121
f24,3.7983539600747189
f25,2.2427721815527497
f26a,3.2230269730269727
f26b,2.5158283019450129
f27a,2.5439746732026149
f31a,3.8100596709216594
f31b,6.2638810464897432
f32f,3.7027787822439278
f32g,2.2100587575935497
f33a,11.606668379055362
f33b,7.4244166780374652
f33c,9.1167177946714215
f33d,5.5069228627123366
f37a,3.025338248707814
f37b,9.7672972390495545
f37d,5.744680851063829
f37g,3.67266775777414
f38,4.6937282729544876
f39,2.1845645464304884
f41c,5.6770775871144323
f41d,8.9024759022376543
f41g,2.3371322164434072
f41h,5.5076764742878108
f41i,4.8537948684514403
f41m,3.0000000000000004
f41n,2.423320369712342
f41o,5.5456121348993577
f41p,2.4494069148750715
f43a,3.4770763829101519
f43c,2.7722461611824007
f43d,7.6713421705455618
f43f,6.4461151710026314
f43g,7.3741776315789469
f43h,7.0239296017583008
f45a,66.528808578885048
f45b,61.605961443701361
f45c,23.289536854962066
f45d,96.981111598249399
f45e,78.946761285732833
f45f,135.91511481277362
h1,5.2808884946594228
h2a,2.159459936098381
h2i,17.3693898370284
h2j,13.561533084923632
h2c,21.938039455270072
h2l,5.6423912430225229
h2d,9.6002046273054731
h2m,17.009737087329174
h2e,5.1115909090909089
h2o,3.9484373409345412
h2p,3.1934432322112483
h2q,4.7820598519127948
h2f,8.2653367980376586
h2h,2.6510895248096631
i1,5.8047623889949662
i2a,7.0530131991534173
i2c,14.385399380412331
i3b,20.003143821696906
i3c,21.263579316593738
i3d,20.440290192150453
i3a,20.072172588378745
i4a,138.5161524384722
i4b,134.80023411872409
i4c,167.35422968137607
i4d,88.763826192272489
i4e,99.701470910403401
i4f,134.12929496373079
i4g,114.85075157116171
i4h,130.67201800190776
i4i,116.87164004033836
i4j,116.30285437810535
i4k,23.635927593077177
i5a,90.70201358571336
i5b,150.32885646217991
i5c,100.07075122093313
i5d,62.400891165491473
i5e,85.976362679428917
i5f,84.325215223184443
i6a,21.733909826312583
i6b,25.320321998743026
i6c,25.070881987896922
i6d,14.951033635623947
i6e,7.7748343253073982
i6f,25.726586157631175
i6g,27.435353954653248
i6h,15.679864502824957
i6j,18.547037593145848
i6k,48.206031563103075
i7a,7.9697684320099995
i7b,15.386489160611964
i7c,20.824263293210578
i7d,16.42319228824261
i7e,17.089806921183413
i7f,14.755971327597972
i7g,14.308728015862442
i7h,22.269580815540422
i7i,12.948235407036954
i8a,62.635317185343354
i8b,87.640771099657997
i8c,61.903802990555
i8d,85.220978715589496
i8e,61.365736127754118
i8f,51.178145482002869
j5a,88.301862124536001
j5b,89.242531102175406
j5c,87.285866204164975
j5d,101.07506091514541
j5e,86.288777472012413
j5f,96.516612501243699
j5g,106.61106354764161
j5h,100.07849786702913
j5i,103.31184679876486
k1a,79.700514164878143
k1b,78.895460445775768
k1c,83.962336584314414
k1d,56.892077357332951
k2a,143.93858527511142
k2b,153.0475556414905
k2c,148.35709353007491
k2d,141.78900258901047
k2e,169.67371594937796
k2f,157.42494358151322
k3,224.19264239937661
k4a,14.043950646423291
k4c,6.1499757656256309
a14,26.515862198745189
a15,11.645894360724926
a16,9.7949876604092108
a17,3.5910344843881781
a17a,4.267682600639441
a19,2.1493231332037839
a20a,14.625117176730086
a20c,4.2566183244672944
a20e,10.651758319944825
a20f,47.311351026408573
a20g,19.473818263136415
a20i,24.287003458520005
a20j,3.2949011887330926
a20k,38.917540920730502
a20l,25.196757939814738
a20n,19.778586116522249
a20o,22.131097080661966
a20p,22.350363344213264
a20r,6.7761008026797125
a20s,18.422189866432642
a20t,9.9394821581259158
a20u,44.776629810695397
a20v,51.046517025325784
a20w,32.180636682904805
a20x,38.466143833442722
a21a,41.384525456867699
a21b,14.243594704755866
a21c,12.786154310674167
a22c,3.2971198372416861
a22d,2.0451104925015291
a22g,7.8025325129370113
a22j,6.9662538840810289
a22i,2.2223655770274431
a22k,4.2937862050510889
a22m,3.8303394286147361
a23,32.711240232203096
a24b,3.3606426449401026
a25b,2.2361345251940659
a25f,3.0125895477103835
a26a,21.231218544693764
a26b,22.574161736057587
a26c,42.231533837210982
a26d,20.693906617958604
a26g,20.797852075473799
a29a,83.551157157542036
a29b,40.626785958038816
g1b,2.0467843024206189
g1c,2.8459650275102044
g3a,2.28515625
